:Data_list: ./hp_from_aepower_from_ae_20021221_to_20021221.txt
:Created: Fri Apr 10 15:50:50 UTC 2026
# This file is created to replicate NOAA HPI files created before 2013.
# Please use with caution as Sat number, hemisphere, activity level, and normalizing factors are placeholders.
#
# Source: AE or SME index.
# Units: gigawatts

# Format:

# Each line is formatted as in this example:

# 2006-09-05 00:54:25 NOAA-16 (S)  7  29.67   0.82

# A19   Date and UT at the center of the polar pass as YYYY-MM-DD hh:mm:ss
# 1X    (Space)
# A7    NOAA POES Satellite number
# 1X    (Space)
# A3    (S) or (N) - hemisphere
# I3    Hemispheric Power Index (activity level)
# F7.2  Estimated Hemispheric Power in gigawatts
# F7.2  Normalizing factor

2002-12-21 04:02:00 NOAA-17 (N)  6 135.94   0.75
2002-12-21 04:03:00 NOAA-17 (N)  6 138.09   0.75
2002-12-21 04:04:00 NOAA-17 (N)  6 125.23   0.75
2002-12-21 04:05:00 NOAA-17 (N)  6 129.82   0.75
2002-12-21 04:06:00 NOAA-17 (N)  6 129.41   0.75
2002-12-21 04:07:00 NOAA-17 (N)  6 134.31   0.75
2002-12-21 04:08:00 NOAA-17 (N)  6 127.99   0.75
2002-12-21 04:09:00 NOAA-17 (N)  6 101.57   0.75
2002-12-21 04:10:00 NOAA-17 (N)  6 105.14   0.75
2002-12-21 04:11:00 NOAA-17 (N)  6 101.47   0.75
2002-12-21 04:12:00 NOAA-17 (N)  6  94.33   0.75
2002-12-21 04:13:00 NOAA-17 (N)  6  94.63   0.75
2002-12-21 04:14:00 NOAA-17 (N)  6  93.31   0.75
2002-12-21 04:15:00 NOAA-17 (N)  6  96.88   0.75
2002-12-21 04:16:00 NOAA-17 (N)  6  96.37   0.75
2002-12-21 04:17:00 NOAA-17 (N)  6 120.85   0.75
2002-12-21 04:18:00 NOAA-17 (N)  6 125.64   0.75
2002-12-21 04:19:00 NOAA-17 (N)  6 119.62   0.75
2002-12-21 04:20:00 NOAA-17 (N)  6 116.46   0.75
2002-12-21 04:21:00 NOAA-17 (N)  6 107.69   0.75
2002-12-21 04:22:00 NOAA-17 (N)  6  99.53   0.75
2002-12-21 04:23:00 NOAA-17 (N)  6 100.14   0.75
2002-12-21 04:24:00 NOAA-17 (N)  6 102.89   0.75
2002-12-21 04:25:00 NOAA-17 (N)  6  98.10   0.75
2002-12-21 04:26:00 NOAA-17 (N)  6  90.86   0.75
2002-12-21 04:27:00 NOAA-17 (N)  6  96.57   0.75
2002-12-21 04:28:00 NOAA-17 (N)  6 101.67   0.75
2002-12-21 04:29:00 NOAA-17 (N)  6  96.98   0.75
2002-12-21 04:30:00 NOAA-17 (N)  6  94.73   0.75
2002-12-21 04:31:00 NOAA-17 (N)  6  98.51   0.75
2002-12-21 04:32:00 NOAA-17 (N)  6 100.14   0.75
2002-12-21 04:33:00 NOAA-17 (N)  6 102.38   0.75
2002-12-21 04:34:00 NOAA-17 (N)  6 104.42   0.75
2002-12-21 04:35:00 NOAA-17 (N)  6 104.73   0.75
2002-12-21 04:36:00 NOAA-17 (N)  6 103.20   0.75
2002-12-21 04:37:00 NOAA-17 (N)  6  97.80   0.75
2002-12-21 04:38:00 NOAA-17 (N)  6  91.27   0.75
2002-12-21 04:39:00 NOAA-17 (N)  6  83.72   0.75
